NCBI_virus_name|Virus.GENBANK.accession|NCBI_host
Bacillus_phage_000TH010,_complete_genome_|NC_070624.1|Bacillus_subtilis
Bacillus_phage_049ML001,_complete_genome_|NC_070625.1|Bacillus_subtilis
Pseudomonas_phage_KP1,_complete_sequence_|NC_069740.1|Pseudomonas_sp.
Pseudomonas_phage_Kaya,_complete_genome_|NC_069741.1|Pseudomonas_aeruginosa
Pseudomonas_phage_vB_PaeS-Yazdi-M_DNA,_complete_genome_|NC_069742.1|Pseudomonas_aeruginosa
Pseudomonas_phage_Guyu,_complete_genome_|NC_069743.1|Pseudomonas_aeruginosa
Xanthomonas_phage_Samson,_complete_genome_|NC_069744.1|Xanthomonas_sp.
Xanthomonas_phage_vB_Xar_IVIA-DoCa1,_complete_genome_|NC_069745.1|Xanthomonas_arboricola
Pseudomonas_phage_Kopi,_complete_genome_|NC_069746.1|Pseudomonas_aeruginosa
Pseudomonas_phage_Epa40,_complete_genome_|NC_069747.1|Pseudomonas_sp.
Pseudomonas_phage_TehO,_complete_genome_|NC_069748.1|Pseudomonas_aeruginosa
Pseudomonas_phage_vB_PaeS_C1,_complete_genome_|NC_069749.1|Pseudomonas_aeruginosa
Pseudomonas_phage_BUCT-PX-5,_complete_genome_|NC_069750.1|Pseudomonas_aeruginosa
Stenotrophomonas_phage_vB_SmaS-DLP_1,_complete_genome_|NC_069751.1|Stenotrophomonas_maltophilia
Pseudomonas_phage_PSV3_clone_NODE_3_genomic_sequence_|NC_069752.1|Pseudomonas_syringae
Pseudomonas_phage_PSV3_clone_NODE_4_genomic_sequence_|NC_069753.1|Pseudomonas_syringae
Pseudomonas_phage_PSV3_clone_NODE_1_genomic_sequence_|NC_069754.1|Pseudomonas_syringae
Pseudomonas_phage_PSV3_clone_NODE_2_genomic_sequence_|NC_069755.1|Pseudomonas_syringae
Salmonella_phage_St162,_complete_genome_|NC_069146.1|Salmonella_enterica
Salmonella_phage_GRNsp27,_complete_genome_|NC_069147.1|Salmonella_enterica
Salmonella_phage_TS6,_complete_genome_|NC_069148.1|Salmonella_sp.
Salmonella_phage_vB_SenTO17,_complete_genome_|NC_069149.1|Salmonella_enterica_subsp._enterica_serovar_Typhimurium
Salmonella_phage_vB_STM-ZS,_complete_genome_|NC_069150.1|Salmonella_enterica
Salmonella_phage_vB_SenS_SE1,_complete_genome_|NC_069151.1|Salmonella_enterica_subsp._enterica
Salmonella_phage_Shemara,_complete_genome_|NC_069152.1|Salmonella_enterica
Salmonella_virus_VSiP,_complete_genome_|NC_069153.1|Salmonella_enterica_subsp._enterica_serovar_Infantis
Klebsiella_phage_VLCpiS11a,_complete_genome_|NC_069154.1|Klebsiella_pneumoniae
Serratia_phage_Tsm2,_complete_genome_|NC_069155.1|Serratia_marcescens
Serratia_phage_vB_SmaM-Otaku,_complete_genome_|NC_069156.1|Serratia_marcescens
Klebsiella_phage_vB_KpP_FBKp27,_complete_genome_|NC_068555.1|Klebsiella_pneumoniae
Bixzunavirus_I3,_complete_genome_|NC_067270.1|Mycolicibacterium_smegmatis
Uncultured_phage_cr61_1,_complete_genome_|NC_067209.1|
Uncultured_phage_cr12_1,_complete_genome_|NC_067210.1|
Uncultured_phage_cr105_1,_complete_genome_|NC_067211.1|
Uncultured_phage_cr19_1,_complete_genome_|NC_067212.1|
Uncultured_phage_cr150_1,_complete_genome_|NC_067213.1|
Uncultured_phage_cr82_1,_complete_genome_|NC_067214.1|
Uncultured_phage_cr29_1,_complete_genome_|NC_067215.1|
Uncultured_phage_cr16_1,_complete_genome_|NC_067216.1|
Uncultured_phage_cr35_1,_complete_genome_|NC_067217.1|
Uncultured_phage_cr23_1,_complete_genome_|NC_067218.1|
MAG:_Carjivirus_communis,_complete_genome_|NC_067194.1|bacterium
Horsepox_virus,_complete_genome_|NC_066642.1|Equus_caballus
Monkeypox_virus,_complete_genome_|NC_063383.1|Homo_sapiens
Bovine_herpesvirus_type_1.1_isolate_NVSL_challenge_97-11,_complete_genome_|NC_063268.1|Bos_taurus
Synechococcus_phage_ACG-2014d_isolate_Syn7803C45,_complete_genome_|NC_062734.1|Synechococcus
Synechococcus_phage_ACG-2014j_isolate_Syn7803US23,_complete_genome_|NC_062735.1|Synechococcus
Synechococcus_phage_ACG-2014e_isolate_Syn7803C85,_complete_genome_|NC_062736.1|Synechococcus
Xanthomonas_phage_XaF13,_complete_genome_|NC_062737.1|Xanthomonas_vesicatoria
Methanobacterium_virus_Drs3,_complete_genome_|NC_062738.1|Methanobacterium_formicicum
Haloferax_tailed_virus_1,_complete_genome_|NC_062739.1|Haloferax
Halorubrum_virus_Serpecor1,_complete_genome_|NC_062740.1|Halorubrum_coriense
Flavobacterium_phage_vB_FspP_elemoB_14-3B,_complete_genome_|NC_062741.1|Flavobacterium
MAG:_Dompiswa_phage_TSP7_1,_complete_genome_|NC_062742.1|Columba_livia
Flavobacterium_phage_vB_FspP_elemoC_14-1A,_complete_genome_|NC_062743.1|Flavobacterium
Cellulophaga_phage_Calle_1,_complete_genome_|NC_062744.1|Cellulophaga_sp._HaHa_2_95
Polaribacter_phage_Danklef_1,_complete_genome_|NC_062745.1|Polaribacter_sp._R2A056_3_33
Polaribacter_phage_Freya_1,_complete_genome_|NC_062746.1|Polaribacter_sp._HaHaR_3_91
Tenacibaculum_phage_Gundel_1,_complete_genome_|NC_062747.1|Tenacibaculum_sp._AHE14PA
Olleya_phage_Harreka_1,_complete_genome_|NC_062748.1|Olleya_sp._HaHaR_3_96
Cellulophaga_phage_Ingeline_1,_complete_genome_|NC_062749.1|Cellulophaga_sp._HaHaR_3_176
Polaribacter_phage_Leef_1,_complete_genome_|NC_062750.1|Polaribacter_sp._AHE13PA
Maribacter_phage_Molly_1,_complete_genome_|NC_062751.1|Maribacter_forsetii
Maribacter_phage_Colly_1,_complete_genome_|NC_062752.1|Maribacter_forsetii
Cellulophaga_phage_Nekkels_1,_complete_genome_|NC_062753.1|Cellulophaga_sp._HaHa_2_1
Winogradskyella_phage_Peternella_1,_complete_genome_|NC_062754.1|Winogradskyella
Haloarcula_virus_HJTV-2,_complete_genome_|NC_062755.1|Haloarcula_japonica
Halorubrum_virus_HATV-2,_complete_genome_|NC_062756.1|Halorubrum_sp.
Halorubrum_virus_HATV-3,_complete_genome_|NC_062757.1|Halorubrum_sp.
Halorubrum_virus_HRTV-10,_complete_genome_|NC_062758.1|Halorubrum_sp.
Halorubrum_virus_HRTV-25,_complete_genome_|NC_062759.1|Halorubrum_sp.
Halorubrum_virus_HRTV-27,_complete_genome_|NC_062760.1|Halorubrum_sp.
Halorubrum_virus_HRTV-28,_complete_genome_|NC_062761.1|Halorubrum_sp.
Halorubrum_virus_HRTV-29,_complete_genome_|NC_062762.1|Halorubrum_sp.
Halorubrum_virus_HSTV-4,_complete_genome_|NC_062763.1|Halorubrum_sodomense
Uncultured_phage_cr49_1,_complete_genome_|NC_062764.1|
Uncultured_phage_cr30_1,_complete_genome_|NC_062765.1|
Uncultured_phage_cr123_1,_complete_genome_|NC_062766.1|
Uncultured_phage_cr149_1,_complete_genome_|NC_062767.1|
Uncultured_phage_cr151_1,_complete_genome_|NC_062768.1|
Uncultured_phage_cr36_1,_complete_genome_|NC_062769.1|
Uncultured_phage_cr91_1,_complete_genome_|NC_062770.1|
Uncultured_phage_cr99_1,_complete_genome_|NC_062771.1|
Uncultured_phage_cr77_1,_complete_genome_|NC_062772.1|
Uncultured_phage_cr44_1,_complete_genome_|NC_062773.1|
Uncultured_phage_cr54_1,_complete_genome_|NC_062774.1|
Uncultured_phage_cr18_1,_complete_genome_|NC_062775.1|
Uncultured_phage_cr9_1,_complete_genome_|NC_062776.1|
Uncultured_phage_cr25_1,_complete_genome_|NC_062777.1|
Uncultured_phage_cr17_1,_complete_genome_|NC_062778.1|
Uncultured_phage_cr2_1,_complete_genome_|NC_062779.1|
Uncultured_phage_cr13_1,_complete_genome_|NC_062780.1|
Pseudomonas_phage_Psa21,_complete_genome_|NC_062581.1|Pseudomonas_syringae
Pseudomonas_phage_Phabio,_complete_genome_|NC_062582.1|Pseudomonas_fluorescens_SBW25
Cucumber_chlorotic_leaf_virus_isolate_CuChLV/Colima,_complete_sequence_|NC_060103.1|Cucumis_sativus
Pseudomonas_phage_YMC12/01/R24,_complete_genome_|NC_061432.1|Pseudomonas_aeruginosa
Pseudomonas_phage_Spike,_complete_genome_|NC_061433.1|Pseudomonas_aeruginosa
Pseudomonas_phage_YMC12/01/R960,_complete_genome_|NC_061434.1|Pseudomonas_aeruginosa
Pseudomonas_phage_JBD26,_complete_genome_|NC_061435.1|Pseudomonas
Pseudomonas_phage_AIIMS-Pa-B1,_complete_genome_|NC_061436.1|Pseudomonas_aeruginosa
Pseudomonas_phage_vB_PaeS_PAO1_HW12_genome_assembly,_complete_genome:_monopartite_|NC_061437.1|Pseudomonas
Pseudomonas_phage_F_ET309sp/Pa1651,_complete_genome_|NC_061438.1|Pseudomonas
Pseudomonas_phage_vB_PaeS_PcyII-40_PfII40a_isolate_PfII40A_reads_genome_assembly,_chromosome:_PFII40A_|NC_061439.1|Pseudomonas
Erwinia_phage_pEa_SNUABM_22,_complete_genome_|NC_061440.1|Erwinia_amylovora
Erwinia_phage_pEa_SNUABM_16,_complete_genome_|NC_061441.1|Erwinia_amylovora
Erwinia_phage_pEa_SNUABM_35,_complete_genome_|NC_061442.1|Erwinia_amylovora
Erwinia_phage_pEa_SNUABM_2,_complete_genome_|NC_061443.1|Erwinia_amylovora
Erwinia_phage_pEa_SNUABM_32,_complete_genome_|NC_061444.1|Erwinia_amylovora
Erwinia_phage_pEa_SNUABM_3,_complete_genome_|NC_061445.1|Erwinia_amylovora
Erwinia_phage_pEa_SNUABM_30,_complete_genome_|NC_061446.1|Erwinia_amylovora
Erwinia_phage_pEa_SNUABM_33,_complete_genome_|NC_061447.1|Erwinia_amylovora
Erwinia_phage_pEa_SNUABM_1,_complete_genome_|NC_061448.1|Erwinia_amylovora
Erwinia_phage_pEa_SNUABM_17,_complete_genome_|NC_061449.1|Erwinia_amylovora
Erwinia_phage_pEa_SNUABM_5,_complete_genome_|NC_061450.1|Erwinia_amylovora
Erwinia_phage_pEa_SNUABM_7,_complete_genome_|NC_061451.1|Erwinia_amylovora
Klebsiella_phage_KpLz-2_45,_complete_genome_|NC_061418.1|Klebsiella_pneumoniae
Klebsiella_phage_vB_KpM_FBKp24,_complete_genome_|NC_061421.1|Klebsiella_pneumoniae
Gordonia_phage_Neville,_complete_genome_|NC_060131.1|Gordonia_terrae
Gordonia_phage_Trax,_complete_genome_|NC_060132.1|Gordonia_terrae
Gordonia_phage_Rabbitrun,_complete_genome_|NC_060133.1|Gordonia_terrae
Gordonia_phage_Octobien14,_complete_genome_|NC_060134.1|Gordonia_terrae
Gordonia_Phage_Sephiroth,_complete_genome_|NC_060135.1|Gordonia_terrae
Gordonia_phage_Kudefre,_complete_genome_|NC_060136.1|Gordonia_terrae
Gordonia_phage_Syleon,_complete_genome_|NC_060137.1|Gordonia_terrae
Tomato_yellow_leaf_deformation_dwarf_virus_segment_B,_complete_sequence_|NC_060089.1|Solanum_lycopersicum
Tomato_mosaic_severe_dwarf_virus_segment_B,_complete_sequence_|NC_060090.1|
Bean_latent_virus_isolate_Nayarit_segment_DNA-B,_complete_sequence_|NC_060091.1|Phaseolus_vulgaris
Ocimum_yellow_vein_virus,_complete_genome_|NC_060093.1|Ocimum_gratissimum
Bean_bushy_stunt_virus_segment_B,_complete_sequence_|NC_060095.1|Phaseolus_vulgaris
Pepper_blistering_leaf_virus_DNA_B,_complete_sequence_|NC_060096.1|Capsicum_annuum
Sida_interveinal_bright_yellow_virus_DNA_B,_complete_sequence_|NC_060097.1|Sida
Hybanthus_yellow_mosaic_virus_DNA_B,_complete_sequence_|NC_060098.1|Pombalia_attenuata
Verbena_mottle_virus_DNA_B,_complete_sequence_|NC_060099.1|Verbena
Sida_yellow_golden_mosaic_virus_DNA_B,_complete_sequence_|NC_060100.1|Sida
Tomato_vein_clearing_leaf_deformation_virus_DNA_B,_complete_sequence_|NC_060101.1|Solanum_lycopersicum
Sida_chlorotic_leaf_virus,_complete_genome_|NC_060102.1|Sida
Bean_leaf_crumple_virus_DNA-B,_complete_sequence_|NC_060104.1|Phaseolus_vulgaris
Achromobacter_phage_vB_AchrS_AchV4,_complete_genome_|NC_052974.1|Achromobacter
Proteus_phage_Saba,_complete_genome_|NC_052978.1|Proteus_mirabilis
Klebsiella_phage_RAD2,_complete_genome_|NC_055956.1|Klebsiella_pneumoniae
Lactococcus_lactis_phage_BK5-T_complete_genome_|NC_056724.1|Lactococcus
Azobacteroides_phage_ProJPt-Bp1_DNA,_complete_sequence_|NC_055706.1|Candidatus_Azobacteroides_pseudotrichonymphae
Mycobacterium_phage_HC_DNA,_complete_genome_|NC_055707.1|Mycobacterium
Enterobacteria_phage_ATK47,_complete_genome_|NC_055708.1|Escherichia_coli
Escherichia_phage_phiE142,_complete_genome_|NC_055709.1|Escherichia_coli
Synechococcus_phage_S-CAM22_isolate_0210CC35,_complete_genome_|NC_055710.1|Synechococcus_sp.
Pseudomonas_phage_PaMx41,_complete_genome_|NC_055711.1|Pseudomonas_aeruginosa
Escherichia_phage_phT4A,_partial_genome_|NC_055712.1|Escherichia_coli
Shigella_phage_KNP5,_genome_|NC_055713.1|Shigella_sp.
Mycobacterium_phage_Fortunato,_complete_genome_|NC_055714.1|Mycolicibacterium_smegmatis_MC2_155
Klebsiella_phage_KPV15,_complete_genome_|NC_055715.1|Klebsiella_pneumoniae
Yersinia_phage_fHe-Yen9-01,_complete_genome_|NC_055716.1|Yersinia_enterocolitica
Vibrio_phage_pVco-5,_complete_genome_|NC_055717.1|Vibrio_coralliilyticus
Escherichia_phage_phiC120,_complete_genome_|NC_055718.1|Escherichia_coli_O157:H7
Synechococcus_phage_S-H35,_complete_genome_|NC_055719.1|Parasynechococcus_marenigrum_WH_8102
Pseudomonas_phage_PspYZU05,_complete_genome_|NC_055720.1|Pseudomonas_sp.
Escherichia_phage_EcS1_DNA,_complete_sequence_|NC_055721.1|Escherichia_coli
Burkholderia_phage_FLC5_DNA,_complete_genome_|NC_055722.1|Burkholderia_glumae
Yersinia_phage_fPS-90_genome_assembly,_chromosome:_I_|NC_055723.1|Yersinia
Yersinia_phage_fPS-65_genome_assembly,_chromosome:_I_|NC_055724.1|Yersinia
uncultured_Caudovirales_phage_genome_assembly_|NC_055725.1|
Cronobacter_phage_Pet-CM3-4_genome_assembly,_chromosome:_I_|NC_055726.1|Cronobacter_malonaticus_LMG_23826
Proteus_phage_PM2,_partial_genome_|NC_055727.1|Proteus_mirabilis
Serratia_phage_X20,_complete_genome_|NC_055728.1|Serratia_sp._ATCC_39006
Uncultured_Caudovirales_phage_clone_2F_1,_complete_genome_|NC_055729.1|
Mycobacterium_phage_Geralt,_complete_genome_|NC_055730.1|Mycolicibacterium_smegmatis_MC2_155
Gordonia_phage_Kabluna,_complete_genome_|NC_055731.1|Gordonia_terrae
Gordonia_phage_Patio,_complete_genome_|NC_055732.1|Gordonia_terrae
Aeromonas_phage_Ah1,_complete_genome_|NC_055733.1|Aeromonas_hydrophila
Shigella_phage_phi25-307,_complete_genome_|NC_055734.1|Shigella_sonnei
Vibrio_phage_1.238.A._10N.261.52.F10,_partial_genome_|NC_055735.1|Vibrio_breoganii
Vibrio_phage_1.245.O._10N.261.54.C7,_partial_genome_|NC_055736.1|Vibrio_breoganii
Proteus_phage_phiP4-3,_complete_genome_|NC_055737.1|Proteus_penneri
Gordonia_phage_Flapper,_complete_genome_|NC_055738.1|Gordonia_terrae
Enterobacter_phage_myPSH1140,_complete_genome_|NC_055739.1|Enterobacter_cloacae
Enterobacteria_phage_vB_EcoM_IME281,_complete_genome_|NC_055740.1|Escherichia_coli_BL21(DE3)
Enterobacteria_phage_vB_EcoM_IME339,_complete_genome_|NC_055741.1|Escherichia_coli_BL21(DE3)
Enterobacteria_phage_vB_EcoM_IME341,_complete_genome_|NC_055742.1|Escherichia_coli_BL21(DE3)
Erwinia_phage_Cronus,_complete_genome_|NC_055743.1|Erwinia_amylovora
Synechococcus_phage_S-B64,_complete_genome_|NC_055744.1|Parasynechococcus_marenigrum_WH_8102
Gordonia_phage_Petra,_complete_genome_|NC_055745.1|Gordonia_westfalica
Aeromonas_phage_50AhydR13PP,_complete_genome_|NC_055746.1|Aeromonas_hydrophila
Aeromonas_phage_60AhydR15PP,_complete_genome_|NC_055747.1|Aeromonas_hydrophila
Klebsiella_phage_Mineola,_complete_genome_|NC_055748.1|Klebsiella_pneumoniae
Escherichia_phage_SF,_complete_genome_|NC_055749.1|Escherichia_coli_O157:H7
Mycobacterium_phage_KingTut,_complete_genome_|NC_055750.1|Mycolicibacterium_smegmatis_MC2_155
Gordonia_phage_Danyall,_complete_genome_|NC_055751.1|Gordonia_terrae
Gordonia_phage_KimmyK,_complete_genome_|NC_055752.1|Gordonia_terrae
Gordonia_phage_Rofo,_complete_genome_|NC_055753.1|Gordonia_terrae
Gordonia_phage_Frokostdame,_complete_genome_|NC_055754.1|Gordonia_terrae
Gordonia_phage_NatB6,_complete_genome_|NC_055755.1|Gordonia_terrae
MAG:_CrAssphage_sp._isolate_ctcc615,_complete_genome_|NC_055756.1|
Escherichia_virus_KFS-EC,_complete_genome_|NC_055757.1|Escherichia_coli_O157:H7
Gordonia_phage_Pleakley,_complete_genome_|NC_055758.1|Gordonia_terrae
Mycobacterium_phage_Ryadel,_complete_genome_|NC_055759.1|Mycolicibacterium_smegmatis_MC2_155
MAG:_CrAssphage_sp._isolate_ctbg_1,_complete_genome_|NC_055760.1|Mus_musculus
Synechococcus_virus_S-PRM1,_complete_genome_|NC_055761.1|Synechococcus_sp._WH_7803
Gordonia_phage_Angelicage,_complete_genome_|NC_055762.1|Gordonia_terrae
Gordonia_phage_Marietta,_complete_genome_|NC_055763.1|Gordonia_terrae
Gordonia_phage_Skysand,_complete_genome_|NC_055764.1|Gordonia_terrae
Gordonia_phage_TillyBobJoe,_complete_genome_|NC_055765.1|Gordonia_terrae
Gordonia_phage_Foxboro,_complete_genome_|NC_055766.1|Gordonia_terrae
Gordonia_phage_KidneyBean,_complete_genome_|NC_055767.1|Gordonia_terrae
Klebsiella_phage_KP179,_complete_genome_|NC_055768.1|Klebsiella_pneumoniae
Gordonia_phage_Turuncu,_complete_genome_|NC_055769.1|Gordonia_terrae
Gordonia_phage_Buggaboo,_complete_genome_|NC_055770.1|Gordonia_terrae
Gordonia_phage_Emianna,_complete_genome_|NC_055771.1|Gordonia_terrae
Corynebacterium_phage_Kimchi1738,_complete_genome_|NC_055772.1|Corynebacterium_vitaeruminis
Gordonia_phage_Ailee,_complete_genome_|NC_055773.1|Gordonia_terrae
Gordonia_phage_Bibwit,_complete_genome_|NC_055774.1|Gordonia_terrae
Gordonia_phage_Fosterous,_complete_genome_|NC_055775.1|Gordonia_terrae
Gordonia_phage_Geodirt,_complete_genome_|NC_055776.1|Gordonia_terrae
Gordonia_phage_Nordenberg,_complete_genome_|NC_055777.1|Gordonia_terrae
Gordonia_phage_Stultus,_complete_genome_|NC_055778.1|Gordonia_terrae
Gordonia_phage_Tangent,_complete_genome_|NC_055779.1|Gordonia_terrae
Escherichia_phage_MLF4,_partial_genome_|NC_055780.1|Escherichia_coli
Escherichia_phage_p000v,_complete_genome_|NC_055781.1|Escherichia_coli
Escherichia_phage_AnYang,_complete_genome_|NC_055782.1|Escherichia_coli_O157
Escherichia_phage_vB_EcoM_005,_complete_genome_|NC_055783.1|Escherichia_coli_O157:H7
Vibrio_virus_vB_VspP_SBP1,_complete_genome_|NC_055784.1|Vibrio
Gordonia_phage_Mutzi,_complete_genome_|NC_055785.1|Gordonia_terrae
Mycobacterium_phage_CicholasNage,_complete_genome_|NC_055786.1|Mycolicibacterium_smegmatis_MC2_155
Mycobacterium_phage_Ochi17,_complete_genome_|NC_055787.1|Mycolicibacterium_smegmatis_MC2_155
Gordonia_phage_NosilaM,_complete_genome_|NC_055788.1|Gordonia_terrae
Gordonia_phage_IDyn,_complete_genome_|NC_055789.1|Gordonia_terrae
Mycobacterium_phage_Silverleaf,_complete_genome_|NC_055790.1|Mycolicibacterium_smegmatis_MC2_155
Streptomyces_phage_EGole,_complete_genome_|NC_055791.1|Streptomyces_griseus
Gordonia_phage_Walrus,_complete_genome_|NC_055792.1|Gordonia_terrae
Pseudomonas_phage_vB_Pae_BR319a,_partial_genome_|NC_055793.1|Pseudomonas_aeruginosa
Vibrio_phage_Achelous,_complete_genome_|NC_055794.1|Vibrio_campbellii
Gordonia_phage_SmokingBunny,_complete_genome_|NC_055795.1|Gordonia_terrae
Gordonia_phage_VanDeWege,_complete_genome_|NC_055796.1|Gordonia_terrae
Gordonia_phage_Barb,_complete_genome_|NC_055797.1|Gordonia_terrae
Gordonia_phage_Arri,_complete_genome_|NC_055798.1|Gordonia_terrae
Gordonia_phage_Valary,_complete_genome_|NC_055799.1|Gordonia_terrae
Vibrio_phage_Brizo,_complete_genome_|NC_055800.1|Vibrio_campbellii_ATCC_BAA-1116
Vibrio_phage_Pontus,_complete_genome_|NC_055801.1|Vibrio_harveyi
Staphylococcus_phage_SA46-CL1,_complete_genome_|NC_055802.1|Staphylococcus_aureus
Gordonia_phage_Galadriel,_complete_genome_|NC_055803.1|Gordonia_terrae
Gordonia_phage_Bakery,_complete_genome_|NC_055804.1|Gordonia_terrae
Gordonia_phage_RogerDodger,_complete_genome_|NC_055805.1|Gordonia_terrae
Gordonia_Phage_Lollipop1437,_complete_genome_|NC_055806.1|Gordonia_terrae
Corynebacterium_phage_Stickynote,_complete_genome_|NC_055807.1|Corynebacterium_vitaeruminis
Gordonia_terrae_phage_McKinley,_complete_genome_|NC_055808.1|Gordonia_terrae
Streptomyces_phage_Evy,_complete_genome_|NC_055809.1|Streptomyces_griseus
Gordonia_phage_Nubi,_complete_genome_|NC_055810.1|Gordonia_terrae
Gordonia_phage_JuJu,_complete_genome_|NC_055811.1|Gordonia_terrae
Mycobacterium_phage_Obutu,_complete_genome_|NC_055812.1|Mycolicibacterium_smegmatis_MC2_155
Streptomyces_phage_Braelyn,_complete_genome_|NC_055813.1|Streptomyces_griseus
Staphylococcus_phage_Portland,_complete_genome_|NC_055814.1|Staphylococcus_aureus
Mycobacterium_phage_Xula,_complete_genome_|NC_055815.1|Mycolicibacterium_smegmatis_MC2_155
Gordonia_phage_Fireball,_complete_genome_|NC_055816.1|Gordonia_terrae
Mycobacterium_phage_Jeeves,_complete_genome_|NC_055817.1|Mycolicibacterium_smegmatis_MC2_155
Gordonia_phage_Jabberwocky,_complete_genome_|NC_055818.1|Gordonia_terrae
Gordonia_phage_Keitabear,_complete_genome_|NC_055819.1|Gordonia_terrae
Gordonia_phage_Sukkupi,_complete_genome_|NC_055820.1|Gordonia_terrae
Gordonia_phage_NadineRae,_complete_genome_|NC_055821.1|Gordonia_terrae
Streptomyces_phage_Daubenski,_complete_genome_|NC_055822.1|Streptomyces_griseus
Acinetobacter_phage_VB_ApiP_XC38,_complete_genome_|NC_055823.1|Acinetobacter_pittii
Vibrio_phage_phi50-12,_complete_genome_|NC_055824.1|Vibrio_owensii
Mycobacterium_phage_LilMoolah,_complete_genome_|NC_055825.1|Mycolicibacterium_smegmatis
Bacteriophage_DSS3_VP1,_complete_genome_|NC_055826.1|
Mycobacterium_phage_DirkDirk,_complete_genome_|NC_055827.1|Mycolicibacterium_smegmatis
Bacteroides_phage_crAss002,_complete_genome_|NC_055828.1|Bacteroides_xylanisolvens
Vibrio_phage_Bennett,_complete_genome_|NC_055829.1|Vibrio_harveyi
Vibrio_phage_Chester,_complete_genome_|NC_055830.1|Vibrio_harveyi
Phage_NBEco003,_complete_genome_|NC_055831.1|
Bacteroides_phage_DAC15,_complete_genome_|NC_055832.1|Bacteroides_thetaiotaomicron
Enterococcus_phage_nattely,_complete_genome_|NC_055833.1|Enterococcus_faecalis
Enterococus_phage_vipetofem,_complete_genome_|NC_055834.1|Enterococcus_faecalis
Xanthomonas_phage_FoX1,_complete_genome_|NC_055835.1|Xanthomonas_campestris
Xanthomonas_phage_FoX2,_complete_genome_|NC_055836.1|Xanthomonas_campestris
Xanthomonas_phage_FoX3,_complete_genome_|NC_055837.1|Xanthomonas_campestris
Xanthomonas_phage_FoX5,_complete_genome_|NC_055838.1|Xanthomonas_campestris
Xanthomonas_phage_FoX4,_complete_genome_|NC_055839.1|Xanthomonas_campestris
Agrobacterium_phage_OLIVR1,_complete_genome_|NC_055840.1|Agrobacterium
Agrobacterium_phage_OLIVR5,_complete_genome_|NC_055841.1|Agrobacterium
Streptomyces_phage_Bmoc,_complete_genome_|NC_055842.1|Streptomyces_griseofuscus
Gordonia_phage_Evamon,_complete_genome_|NC_055843.1|Gordonia_terrae
Yersinia_phage_vB_YpM_22,_complete_genome_|NC_055844.1|Yersinia_pestis_EV76-CN
Yersinia_phage_vB_YpM_46,_complete_genome_|NC_055845.1|Yersinia_pestis_EV76-CN
Yersinia_phage_vB_YpM_50,_complete_genome_|NC_055846.1|Yersinia_pestis_EV76-CN
Vibrio_phage_River4,_complete_genome_|NC_055847.1|Vibrio_harveyi
Vibrio_phage_AG74,_complete_genome_|NC_055848.1|Vibrio_harveyi
Vibrio_phage_Cody,_complete_genome_|NC_055849.1|Vibrio_harveyi
Vibrio_phage_Quinn,_complete_genome_|NC_055850.1|Vibrio_harveyi
Vibrio_phage_Athena,_complete_genome_|NC_055851.1|Vibrio_harveyi
Flavobacterium_phage_vB_FspP_elemoA_7-9A,_complete_genome_|NC_055852.1|Flavobacterium
Flavobacterium_phage_vB_Fsp_elemo6-3D,_partial_genome_|NC_055853.1|Flavobacterium
Flavobacterium_phage_vB_Fsp_elemo6-9C,_partial_genome_|NC_055854.1|Flavobacterium
Flavobacterium_phage_vB_Fsp_elemo13-5B,_partial_genome_|NC_055855.1|Flavobacterium
Gordonia_Phage_Barsten,_complete_genome_|NC_055856.1|Gordonia_terrae
Gordonia_phage_Jambalaya,_complete_genome_|NC_055857.1|Gordonia_terrae
Mycobacterium_phage_Gail,_complete_genome_|NC_055858.1|Mycolicibacterium_smegmatis_MC2_155
Gordonia_phage_Paries,_complete_genome_|NC_055859.1|Gordonia_terrae
Mycobacterium_phage_Heath,_complete_genome_|NC_055860.1|Mycolicibacterium_smegmatis_MC2_155
Gordonia_phage_Portcullis,_complete_genome_|NC_055861.1|Gordonia_terrae
Vibrio_phage_ValB1MD-2,_complete_genome_|NC_055862.1|Vibrio_alginolyticus
Burkholderia_phage_Mana,_complete_genome_|NC_055863.1|Burkholderia_gladioli
Gordonia_phage_Love,_complete_genome_|NC_055864.1|Gordonia_terrae
Gordonia_phage_Azula,_complete_genome_|NC_055865.1|Gordonia_terrae
Enterococcus_phage_AE4_17,_complete_genome_|NC_055866.1|Enterococcus_faecalis
Gordonia_phage_Clown,_complete_genome_|NC_055867.1|Gordonia_terrae
CrAssphage_cr50_1,_complete_genome_|NC_055868.1|
CrAssphage_cr55_1,_complete_genome_|NC_055869.1|
CrAssphage_cr107_1,_complete_genome_|NC_055870.1|
CrAssphage_cr106_1,_complete_genome_|NC_055871.1|
CrAssphage_cr118_1,_complete_genome_|NC_055872.1|
CrAssphage_cr1_1,_complete_genome_|NC_055873.1|
CrAssphage_cr3_1,_complete_genome_|NC_055874.1|
CrAssphage_cr10_1,_complete_genome_|NC_055875.1|
CrAssphage_cr11_1,_complete_genome_|NC_055876.1|
CrAssphage_cr8_1,_complete_genome_|NC_055877.1|
CrAssphage_cr108_1,_complete_genome_|NC_055878.1|
CrAssphage_cr110_1,_complete_genome_|NC_055879.1|
CrAssphage_cr111_1,_complete_genome_|NC_055880.1|
CrAssphage_cr112_1,_complete_genome_|NC_055881.1|
